prestatienummer,type_waarde,jaar,waarde
Algemeen klantoordeel HRN,Bodemwaarde,,7.3
Algemeen klantoordeel HRN,Realisatie,2022,
Algemeen klantoordeel HRN,Realisatie,2021,7.9
Algemeen klantoordeel HSL,Bodemwaarde,,7.2
Algemeen klantoordeel HSL,Realisatie,2022,
Algemeen klantoordeel HSL,Realisatie,2021,7.9
Kwaliteit van aansluitingen NS op andere vervoerders,Bodemwaarde,,94.0
Kwaliteit van aansluitingen NS op andere vervoerders,Realisatie,2022,95.5
Kwaliteit van aansluitingen NS op andere vervoerders,Realisatie,2021,96.5
Zitplaatskans in de spits HRN,Bodemwaarde,,94.3
Zitplaatskans in de spits HRN,Realisatie,2022,96.6
Zitplaatskans in de spits HRN,Realisatie,2021,99.6
Zitplaatskans in de spits HSL,Bodemwaarde,,91.2
Zitplaatskans in de spits HSL,Realisatie,2022,98.0
Zitplaatskans in de spits HSL,Realisatie,2021,99.9
Aantal drukke treinen per weekweek in de spits HRN,Bodemwaarde,,110
Aantal drukke treinen per weekweek in de spits HRN,Realisatie,2022,51
Aantal drukke treinen per weekweek in de spits HRN,Realisatie,2021,4
Gebruiksvriendelijke reisinformatie,Bodemwaarde,,65.0
Gebruiksvriendelijke reisinformatie,Realisatie,2022,81.7
Gebruiksvriendelijke reisinformatie,Realisatie,2021,79.9
Klantoordeel sociale veiligheid,Bodemwaarde,,7.7
Klantoordeel sociale veiligheid,Realisatie,2022,
Klantoordeel sociale veiligheid,Realisatie,2021,8.1
Reizigerspunctualiteit 5 minuten HRN,Bodemwaarde,,88.9
Reizigerspunctualiteit 5 minuten HRN,Realisatie,2022,91.6
Reizigerspunctualiteit 5 minuten HRN,Realisatie,2021,94.4
Reizigerspunctualiteit 15 minuten HRN,Bodemwaarde,,96.7
Reizigerspunctualiteit 15 minuten HRN,Realisatie,2022,97.3
Reizigerspunctualiteit 15 minuten HRN,Realisatie,2021,98.1
Reizigerspunctualiteit 5 minuten HSL,Bodemwaarde,,82.1
Reizigerspunctualiteit 5 minuten HSL,Realisatie,2022,82.0
Reizigerspunctualiteit 5 minuten HSL,Realisatie,2021,89.2
